Created Time,Last Modified Time,Display Name,Company Name,Salutation,First Name,Last Name,Phone,Currency Code,Notes,Website,Status,Opening Balance,Exchange Rate,Bank Account Payment,Credit Limit,Customer Sub Type,Billing Attention,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Attention,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Phone,Shipping Fax,Skype Identity,Facebook,Twitter,Department,Designation,Price List,Payment Terms,Payment Terms Label,Tax Type,Last Sync Time,Owner Name,Primary Contact ID,EmailID,MobilePhone,Contact ID,Contact Name,Contact Type,Taxable,Tax Name,Tax Percentage,Contact Address ID,Source,CF.TIN Number:
2022-05-27 16:25:33,2023-07-25 15:12:53,Sales,,,,Sales,,MVR,,,Active,,,false,0.000,business,male,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000078003,,,3262759000000078001,Sales,customer,true,,,3262759000000078001,,
2022-06-23 17:39:15,2022-11-30 10:35:32,Thoum ,,,Thoum ,Restaurant ,9977177,MVR,,,Inactive,,,false,0.000,business,,1012121GST501,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000097003,,,3262759000000097001,Thoum ,customer,true,,,3262759000000097001,,
2022-06-26 15:13:56,2023-07-25 14:15:58,Sales ,Sales ,,,Sales ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,.,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000116003,,,3262759000000116001,Sales ,customer,true,,,3262759000000116001,,
2022-06-26 17:05:09,2022-06-26 19:46:06,Umber Private Limite  C-1/7943236 Sh.kanditheemu,1122299GST501,,Umber Private Limite ,C-1/7943236 Sh.kanditheemu,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000118029,,,3262759000000118027,Umber Private Limite  C-1/7943236 Sh.kanditheemu,customer,true,,,3262759000000118027,,
2022-06-26 19:15:48,2023-01-18 17:46:51,Plaza ,Plaza ,,Hissan ,Plaza ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000124003,,,3262759000000124001,Plaza ,customer,true,,,3262759000000124001,,
2022-06-27 18:06:43,2022-06-27 18:11:14,Fanvai grosers G.2,Fanvai grosers G.2,,"Fanvai grosers
G.2",Fanvai grosers G.2,7796033,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000129003,,,3262759000000129001,Fanvai grosers G.2,customer,true,,,3262759000000129001,,
2022-06-28 10:30:45,2022-06-28 11:00:32,Sifco,Mndf,,Sifco,Sifco,3322603,MVR,,,Active,,,false,0.000,business,1017685GST501,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000136003,,,3262759000000136001,Sifco,customer,true,,,3262759000000136001,,
2022-06-28 10:44:16,2022-06-28 10:51:15,Alpha Mart Mart ,1140794GST501,,Alpha Mart,Mart ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000140003,,,3262759000000140001,Alpha Mart Mart ,customer,true,,,3262759000000140001,,
2022-06-28 14:55:35,2022-08-22 16:53:32,Bluebrid Pvt Ltd ,,,Bluebrid Pvt Ltd ,1000883GSt501,,MVR,,,Active,,,false,0.000,business,1000883GST501,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000142003,,,3262759000000142001,Bluebrid Pvt Ltd ,customer,true,,,3262759000000142001,,
2022-06-28 15:22:17,2022-06-28 15:22:17,Bluebird Pvt Ltd 1000883GST501,Bluebird Pvt Ltd 1000883GST501,,Bluebird Pvt Ltd 1000883GST501,,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000147003,,,3262759000000147001,Bluebird Pvt Ltd 1000883GST501,customer,true,,,3262759000000147001,,
2022-06-28 18:08:30,2022-06-28 19:41:51,Rlo Maldives,Rlo Maldives,,Rio Maldives,,9892002,MVR,,,Active,,,false,0.000,business,Attn,,,Male,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000149003,,,3262759000000149001,Rlo Maldives,customer,true,,,3262759000000149001,,
2022-06-29 12:03:43,2023-02-15 16:30:26,Cino Cafe 1006790GST502 ,Cino Cafe,,Cino Cafe 1006790GST502,Cino Cafe,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000152055,,,3262759000000152053,Cino Cafe 1006790GST502 ,customer,true,,,3262759000000152053,,
2022-06-29 14:15:30,2023-04-27 13:52:22,Rio Maldives,,,,,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,,,,3262759000000151053,Rio Maldives,customer,true,,,3262759000000151053,,1029545GST501
2022-06-29 16:15:36,2023-04-25 17:24:04,Ellie's Cuisine,Ellie's Cuisine,,Ellie's Cuisine,Ellie's Cuisine,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000165017,,,3262759000000165015,Ellie's Cuisine,customer,true,,,3262759000000165015,,1018193GST501 
2022-06-30 13:35:48,2022-06-30 16:14:45,1O1 Gadgets.,1o1 Gadgets,,1o1 Gadgets,1O1 Gadgets,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000182003,,,3262759000000182001,1O1 Gadgets.,customer,true,,,3262759000000182001,,1039284GST501
2022-06-30 13:40:53,2022-06-30 19:26:03,Maher pro,Maher pro,,Maher pro,Maher pro,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000177045,,,3262759000000177043,Maher pro,customer,true,,,3262759000000177043,,
2022-06-30 16:07:14,2022-06-30 16:07:14,1O1 Gadgets,1O1 Gadgets,,1O1 Gadgets,1O1 Gadgets,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000178005,,,3262759000000178003,1O1 Gadgets,customer,true,,,3262759000000178003,,
2022-07-02 17:23:04,2022-07-02 17:23:04,Delizioso,Delizioso,,Delizioso,Delizioso,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000195007,,,3262759000000195005,Delizioso,customer,true,,,3262759000000195005,,1012014GST501
2022-07-02 18:04:11,2023-05-21 15:50:34,Buruzu Pvt Ltd,,,,,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,,,,3262759000000204001,Buruzu Pvt Ltd,customer,true,,,3262759000000204001,,1001528GST501
2022-07-05 16:39:06,2022-07-05 16:53:22,Reaipont,Reaipont,,Reaipont,Reaipont,7901590,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000225003,,7901590,3262759000000225001,Reaipont,customer,true,,,3262759000000225001,,1010189GST501
2022-07-06 11:35:07,2023-04-15 12:57:21,Emporium8,Emporium,,Emporium ,Emporium,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000246003,,,3262759000000246001,Emporium8,customer,true,,,3262759000000246001,,1002501GST501 
2022-07-07 14:18:06,2022-10-15 16:55:15,Grill Hut,Grill Hut,,Grill Hut,Grill Hut,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000255003,,,3262759000000255001,Grill Hut,customer,true,,,3262759000000255001,,1012798GST501
2022-07-10 10:30:44,2022-07-10 10:30:44,MNW Mart,MNW Mart,,MNW Mart,MNW Mart,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000286007,,,3262759000000286005,MNW Mart,customer,true,,,3262759000000286005,,1005622GST501
2022-07-11 14:59:27,2022-08-23 16:53:26,Hammadh,Hammadh,,Hammadh ,Hammadh,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000293009,,,3262759000000293007,Hammadh,customer,true,,,3262759000000293007,,
2022-07-12 15:34:06,2023-05-31 08:58:12,Ujaalaa Maldives,Ujaalaa Maldives,,Ujaalaa Maldives,Ujaalaa Maldives,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000302003,,,3262759000000302001,Ujaalaa Maldives,customer,true,,,3262759000000302001,,
2022-07-13 17:23:04,2022-07-13 17:23:04,City council kaashidhoo,City council kaashidhoo,,City council kaashidhoo,City council kaashidhoo,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000309007,,,3262759000000309005,City council kaashidhoo,customer,true,,,3262759000000309005,,
2022-07-14 09:48:24,2022-07-14 19:15:42,Royal Pearl Shop ,Royal Pearl Shop ,,Royal Pearl Shop ,Royal Pearl Shop ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000308007,,,3262759000000308005,Royal Pearl Shop ,customer,true,,,3262759000000308005,,
2022-07-14 15:18:54,2022-07-14 15:22:12,BR shop N.Maalhendhoo  9147244,BR shop N.Maalhendhoo  9147244,,"BR shop
N.Maalhendhoo 
9147244",BR shop N.Maalhendhoo  9147244,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000327003,,,3262759000000327001,BR shop N.Maalhendhoo  9147244,customer,true,,,3262759000000327001,,
2022-07-16 14:14:26,2022-07-16 14:16:15,Cino Cave ,Cino Cafe,,Cino Cafe ,Cino Cafe,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000343003,,,3262759000000343001,Cino Cave ,customer,true,,,3262759000000343001,,1006790GST502
2022-07-16 14:20:15,2022-07-16 14:21:49,M.H.M O-10 ,M.H.M O-10 ,,M.H.M O-10 ,M.H.M O-10 ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000343017,,,3262759000000343015,M.H.M O-10 ,customer,true,,,3262759000000343015,,
2022-07-16 16:02:58,2023-07-23 13:38:31,Ultra South,Ultra South,,Ultra South,Ultra South,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000339029,,,3262759000000339027,Ultra South,customer,true,,,3262759000000339027,,1036369GST501
2022-07-16 16:36:00,2022-07-16 16:38:21,Central Mall Pvt Ltd ,Central Mall Pvt Ltd ,,Central Mall Pvt Ltd ,Central Mall Pvt Ltd ,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000341045,,,3262759000000341043,Central Mall Pvt Ltd ,customer,true,,,3262759000000341043,,1135224GST501 
2022-07-17 09:58:49,2023-07-02 11:45:53,Lucky wey kaashidhoo,Lucky wey kaashidhoo,,Lucky wey kaashidhoo,Lucky wey kaashidhoo,,MVR,,,Active,,,false,0.000,business,,,,,,,,,,,,,,,,,,,,,,,,,0,Due on Receipt,,,,3262759000000345113,,,3262759000000345111,Lucky wey kaashidhoo,customer,true,,,3262759000000345111,,
