Item ID,Item Name,SKU,Description,Rate,Account,Account Code,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Is Combo Product,CF.pcs/case,CF.wholesale price,CF.tags
4085998000000172617,TEAK PVC GLOSSY 0.5MM(960) X 22MM,,,MVR 0.7273,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 176.00,Cost of Goods Sold,,,Inventory Asset,,400,,,,0,Inventory,false,,,
4085998000000172626,Plastic Container R6,r6,,MVR 0.90,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.42,Cost of Goods Sold,,,Inventory Asset,,2000,,7839,MVR 0.42,7239,Inventory,false,,,#counted
4085998000000172655,Burger Box 6*10Pcs,,,MVR 2.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.50,Cost of Goods Sold,,,Inventory Asset,,20,,2600,MVR 0.50,2600,Inventory,false,,,#counted
4085998000000172680,Paper Bag Brown SOS 8,,,MVR 1.15,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.58,Cost of Goods Sold,,,Inventory Asset,,5,,8000,MVR 0.58,7600,Inventory,false,,,#counted
4085998000000172705,Aluminium Foil Box 8325 1pcs,8325,250ml,MVR 1.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.50,Cost of Goods Sold,,,Inventory Asset,,8000,,35130,MVR 0.624989,29430,Inventory,false,,,#counted
4085998000000172730,Plastic Container R4 Plastic,r4,,MVR 1.20,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.67,Cost of Goods Sold,,,Inventory Asset,,2000,,40621,MVR 0.67,39716,Inventory,false,,,#counted
4085998000000172755,2oz sauce container with lid 1x50pcsx20pkt,,,MVR 1.40,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 0.703416,Cost of Goods Sold,,,Inventory Asset,,,,17940,MVR 0.703416,16140,Inventory,false,,,#counted
4085998000000172782,Food wrap paper brown 1bundle,,100pcs/bundle,MVR 95.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,bundle,MVR 48.00,Cost of Goods Sold,,,Inventory Asset,,5,,31,MVR 0.95,30,Inventory,false,,,#counted
4085998000000172807,Plastic Bottle 401,,,MVR 7.59,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 3.79,Cost of Goods Sold,,,Inventory Asset,,50,,,,0,Inventory,false,,,
4085998000000172816,Trolley square tube platform  900x600x850,,,MVR 1800.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,,MVR 710.00,Cost of Goods Sold,,,Inventory Asset,,,,,,0,Inventory,false,,,
4085998000000172825,"Hook Slat WHITE 6""",,,MVR 15.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,,MVR 5.00,Cost of Goods Sold,,,Inventory Asset,,400,,,,0,Inventory,false,,,"#china-rack, #counted"
4085998000000172834,test composite,,,MVR 2.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,,MVR 1.00,Cost of Goods Sold,,,Inventory Asset,,,,872,MVR 1.00,872,Inventory,false,,,
4085998000000172859,Aluminium Foil Container Round 5069 1pcs,5069,,MVR 2.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1.00,Cost of Goods Sold,,,Inventory Asset,,,,1226,MVR 1.00,1225,Inventory,false,600,,#counted
4085998000000172884,Plastic Container R16 480Ml 50*10Pcs,r16,,MVR 2.80,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1.31,Cost of Goods Sold,,,Inventory Asset,,2000,,,,0,Inventory,false,,,#counted
4085998000000172893,Plastic Container R12 370Ml 50*10Pcs,r12,,MVR 1.90,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1.40,Cost of Goods Sold,,,Inventory Asset,,2000,,600,MVR 1.40,595,Inventory,false,,,#counted
4085998000000172918,Juice bag  500ML,,,MVR 4.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1.99,Cost of Goods Sold,,,Inventory Asset,,100,,400,MVR 1.99,400,Inventory,false,,,
4085998000000172943,MESH STAND,,,MVR 1850.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1000.00,Cost of Goods Sold,,,Inventory Asset,,400,,18,MVR 1000.00,17,Inventory,false,,,
4085998000000172968,Premium Instyle Rack 2 In One - Red,,,MVR 1490.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 1043.00,Cost of Goods Sold,,,Inventory Asset,,2,,4,MVR 1043.00,4,Inventory,false,,,"#china-rack, #counted"
4085998000000172993,Tea Powder 1X454G X20Pkt,,,MVR 239.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 105.00,Cost of Goods Sold,,,Inventory Asset,,10,,57,MVR 105.00,57,Inventory,false,,,
4085998000000173018,TILE  2X1 T5063183,,,MVR 38.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 11.00,Cost of Goods Sold,,,Inventory Asset,,400,,38,MVR 11.00,38,Inventory,false,,,
4085998000000173043,TILE 2X1 HT002,,,MVR 38.00,Sales,,GST,8.00,ItemAmount,,,,goods,2,,,Active,pcs,MVR 11.00,Cost of Goods Sold,,,Inventory Asset,,400,,88,MVR 11.00,88,Inventory,false,,,
